SimTime	Autoindex	Register	Registerwert
39	10	CANvelocity	70.1738
39	10	CANlaneid	0
39	11	CANvelocity	53.3421
39	11	CANlaneid	0
39	12	CANvelocity	37.1558
39	12	CANlaneid	0
39	13	CANvelocity	15.224
39	13	CANlaneid	0
40	0	CANvelocity	117.635
40	0	CANlaneid	0
40	1	CANvelocity	119.837
40	1	CANlaneid	0
40	2	CANvelocity	118.002
40	2	CANlaneid	0
40	3	CANvelocity	119.85
40	3	CANlaneid	0
40	4	CANvelocity	117.991
40	4	CANlaneid	0
40	5	CANvelocity	119.328
40	5	CANlaneid	0
40	6	CANvelocity	119.147
40	6	CANlaneid	0
40	7	CANvelocity	106.88
40	7	CANlaneid	0
40	8	CANvelocity	100.437
40	8	CANlaneid	0
40	9	CANvelocity	92.865
40	9	CANlaneid	0
40	10	CANvelocity	74.3048
40	10	CANlaneid	0
40	11	CANvelocity	59.9094
40	11	CANlaneid	0
40	12	CANvelocity	42.1552
40	12	CANlaneid	0
40	13	CANvelocity	19.9337
40	13	CANlaneid	0
40	14	CANvelocity	4.00555
40	14	CANlaneid	0
41	0	CANvelocity	118.198
41	0	CANlaneid	0
41	1	CANvelocity	118.757
41	1	CANlaneid	0
41	2	CANvelocity	119.874
41	2	CANlaneid	0
41	3	CANvelocity	119.221
41	3	CANlaneid	0
41	4	CANvelocity	118.471
41	4	CANlaneid	0
41	5	CANvelocity	117.704
41	5	CANlaneid	0
41	6	CANvelocity	118.576
41	6	CANlaneid	0
41	7	CANvelocity	110.564
41	7	CANlaneid	0
41	8	CANvelocity	105.547
41	8	CANlaneid	0
41	9	CANvelocity	96.0406
41	9	CANlaneid	0
41	10	CANvelocity	78.5433
41	10	CANlaneid	0
41	11	CANvelocity	66.3871
41	11	CANlaneid	0
41	12	CANvelocity	46.5363
41	12	CANlaneid	0
41	13	CANvelocity	27.9456
41	13	CANlaneid	0
41	14	CANvelocity	10.5399
41	14	CANlaneid	0
42	0	CANvelocity	117.598
42	0	CANlaneid	0
42	1	CANvelocity	118.281
42	1	CANlaneid	0
42	2	CANvelocity	118.404
42	2	CANlaneid	0
42	3	CANvelocity	117.819
42	3	CANlaneid	0
42	4	CANvelocity	118.648
42	4	CANlaneid	0
42	5	CANvelocity	119.727
42	5	CANlaneid	0
42	6	CANvelocity	119.407
42	6	CANlaneid	0
42	7	CANvelocity	115.662
42	7	CANlaneid	0
42	8	CANvelocity	110.36
42	8	CANlaneid	0
42	9	CANvelocity	99.9185
42	9	CANlaneid	0
42	10	CANvelocity	83.7331
42	10	CANlaneid	0
42	11	CANvelocity	72.1739
42	11	CANlaneid	0
42	12	CANvelocity	53.7484
42	12	CANlaneid	0
42	13	CANvelocity	34.409
42	13	CANlaneid	0
42	14	CANvelocity	18.3514
42	14	CANlaneid	0
43	0	CANvelocity	117.57
43	0	CANlaneid	0
43	1	CANvelocity	117.78
43	1	CANlaneid	0
43	2	CANvelocity	118.811
43	2	CANlaneid	0
43	3	CANvelocity	118.083
43	3	CANlaneid	0
43	4	CANvelocity	117.9
43	4	CANlaneid	0
43	5	CANvelocity	118.358
43	5	CANlaneid	0
43	6	CANvelocity	119.555
43	6	CANlaneid	0
43	7	CANvelocity	117.629
43	7	CANlaneid	0
43	8	CANvelocity	115.011
43	8	CANlaneid	0
43	9	CANvelocity	103.333
43	9	CANlaneid	0
43	10	CANvelocity	87.6038
43	10	CANlaneid	0
